"Points:0","Points:1","Points:2","pressure","total_pressure","velocity_magnitude","x_velocity","y_velocity","z_velocity"
-0.70699,-0.3324,1.032,-201.44,712.66,0,0,0,0
-0.70704,-0.33256,1.0327,-174.83,700.4,0,0,0,0
-0.70709,-0.33358,1.033,-131.02,686.65,0,0,0,0
-0.70673,-0.33059,1.0319,-270.92,742.44,0,0,0,0
-0.70702,-0.33077,1.0331,-181.55,708.15,0,0,0,0
-0.70709,-0.33172,1.0334,-153.43,697.3,0,0,0,0
-0.70701,-0.33979,1.0295,-498.45,685.82,0,0,0,0
-0.70657,-0.34049,1.0291,-491.99,659.01,0,0,0,0
-0.70608,-0.34044,1.0289,-496.77,620.79,0,0,0,0
-0.70744,-0.33983,1.0297,-371.06,725.64,0,0,0,0
-0.70717,-0.33402,1.0343,-95.632,659.22,0,0,0,0
-0.70719,-0.33493,1.0345,-83.525,644.33,0,0,0,0
-0.70726,-0.33599,1.0335,-96.513,671.26,0,0,0,0
-0.70729,-0.33705,1.0337,-103.06,658.14,0,0,0,0
-0.70735,-0.33787,1.0326,-133.91,682.08,0,0,0,0
-0.70736,-0.33744,1.0315,-177.23,785.61,0,0,0,0
-0.7071,-0.3329,1.0352,-92.989,646.86,0,0,0,0
-0.70708,-0.33194,1.0348,-106.95,672.4,0,0,0,0
-0.70739,-0.33812,1.0307,-227.25,800.79,0,0,0,0
-0.7074,-0.33929,1.0328,-136.43,656.8,0,0,0,0
-0.70743,-0.33973,1.0321,-164.97,688.83,0,0,0,0
-0.70742,-0.33917,1.0309,-224.91,753.52,0,0,0,0
-0.70418,-0.33667,1.0333,-481.69,-245.8,0,0,0,0
-0.70416,-0.33543,1.0329,-486.26,-283.47,0,0,0,0
-0.70426,-0.33518,1.0314,-504.25,-153.12,0,0,0,0
-0.70436,-0.33604,1.0307,-510.72,-65.409,0,0,0,0
-0.70435,-0.33714,1.031,-500.37,-143.88,0,0,0,0
-0.70424,-0.33749,1.0326,-482.92,-261.65,0,0,0,0
-0.70408,-0.33333,1.0331,-502.56,-304.97,0,0,0,0
-0.70415,-0.33319,1.0318,-530.81,-150.7,0,0,0,0
-0.70425,-0.33406,1.0311,-526,-67.298,0,0,0,0
-0.7041,-0.33455,1.0336,-487.34,-285.64,0,0,0,0
-0.70437,-0.34067,1.0324,-471.46,-185.96,0,0,0,0
-0.70434,-0.33939,1.032,-478.94,-243.51,0,0,0,0
-0.70443,-0.33916,1.0306,-489.1,-129.71,0,0,0,0
-0.70452,-0.34006,1.0299,-490.42,-31.084,0,0,0,0
-0.70452,-0.34117,1.0303,-480.85,-96.051,0,0,0,0
-0.70442,-0.34141,1.0319,-467.37,-207.86,0,0,0,0
-0.70427,-0.33846,1.0327,-479.58,-221.21,0,0,0,0
-0.70444,-0.33799,1.0303,-501.77,-61.195,0,0,0,0
-0.70457,-0.33993,1.0292,-480.29,269.7,0,0,0,0
-0.70451,-0.33785,1.0296,-489.55,234.55,0,0,0,0
-0.70401,-0.33242,1.0337,-505.57,-324.3,0,0,0,0
-0.704,-0.33123,1.0332,-531.48,-289.78,0,0,0,0
-0.70408,-0.33118,1.0321,-587.35,-122.34,0,0,0,0
-0.70417,-0.33207,1.0314,-596.37,-14.247,0,0,0,0
-0.70498,-0.33783,1.0295,-500.36,469.2,0,0,0,0
-0.70562,-0.33866,1.0293,-504.64,506.82,0,0,0,0
-0.70494,-0.33991,1.0292,-488.25,511.28,0,0,0,0
-0.70547,-0.34046,1.029,-498.81,543.54,0,0,0,0
-0.70381,-0.3282,1.0349,-491.23,-383.4,0,0,0,0
-0.70376,-0.32736,1.0353,-503.65,-399.51,0,0,0,0
-0.70375,-0.32635,1.0348,-515.86,-377.87,0,0,0,0
-0.70382,-0.32619,1.0333,-539.28,-144.44,0,0,0,0
-0.70388,-0.32695,1.0327,-540.3,60.767,0,0,0,0
-0.70389,-0.32759,1.0329,-516.74,-66.72,0,0,0,0
-0.70387,-0.32843,1.0337,-492.86,-327.58,0,0,0,0
-0.70384,-0.32484,1.0323,-563.99,330.76,0,0,0,0
-0.70429,-0.32479,1.0322,-593.73,527.28,0,0,0,0
-0.70498,-0.32588,1.0319,-626.92,500.87,0,0,0,0
-0.70451,-0.32677,1.0318,-625.39,507.45,0,0,0,0
-0.70392,-0.32681,1.0319,-558.47,342.8,0,0,0,0
-0.70376,-0.32285,1.0327,-596.62,391.46,0,0,0,0
-0.70423,-0.32281,1.0326,-601.4,567.33,0,0,0,0
-0.7049,-0.32388,1.0323,-611.78,561.75,0,0,0,0
-0.70367,-0.32093,1.0332,-631.92,437.59,0,0,0,0
-0.70412,-0.32089,1.0331,-608.05,606.43,0,0,0,0
-0.70478,-0.32191,1.0327,-617.91,590.51,0,0,0,0
-0.70551,-0.3258,1.0318,-539.03,630.56,0,0,0,0
-0.70535,-0.32383,1.0322,-521.96,670.18,0,0,0,0
-0.70524,-0.32186,1.0326,-509.52,694.39,0,0,0,0
-0.7062,-0.32242,1.0486,-12.761,582.92,0,0,0,0
-0.70613,-0.32175,1.0497,-4.5688,588.14,0,0,0,0
-0.70634,-0.32643,1.0487,-17.591,602.34,0,0,0,0
